mouseID,sex,date,weekday,schedule,trials,note
test,F,01-05-25,0.0,test,0.0,test
,,,,,,
dodo1,M,2026-01-06,1.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,174.0,
dodo2,M,2026-01-06,1.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,264.0,
dodo3,M,2026-01-06,1.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,242.0,
dodo4,M,2026-01-06,1.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,211.0,
quagga1,F,2026-01-06,1.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,178.0,
quagga2,F,2026-01-06,1.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,179.0,
quagga3,F,2026-01-06,1.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,301.0,
quagga4,F,2026-01-06,1.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,241.0,
,,,,,,
dodo1,M,2026-01-07,2.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,179.0,
dodo2,M,2026-01-07,2.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,249.0,
dodo3,M,2026-01-07,2.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,232.0,
dodo4,M,2026-01-07,2.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,266.0,
quagga1,F,2026-01-07,2.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,174.0,
quagga2,F,2026-01-07,2.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,220.0,
quagga3,F,2026-01-07,2.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,333.0,
quagga4,F,2026-01-07,2.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,265.0,
,,,,,,
dodo1,M,2026-01-08,3.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,184.0,
dodo2,M,2026-01-08,3.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,269.0,
dodo3,M,2026-01-08,3.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,241.0,
dodo4,M,2026-01-08,3.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,269.0,
quagga1,F,2026-01-08,3.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,183.0,
quagga2,F,2026-01-08,3.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,226.0,
quagga3,F,2026-01-08,3.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,337.0,
quagga4,F,2026-01-08,3.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,293.0,
,,,,,,
dodo1,M,2026-01-09,4.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,197.0,
dodo2,M,2026-01-09,4.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,297.0,
dodo3,M,2026-01-09,4.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,216.0,
dodo4,M,2026-01-09,4.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,271.0,
quagga1,F,2026-01-09,4.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,220.0,
quagga2,F,2026-01-09,4.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,274.0,
quagga3,F,2026-01-09,4.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,336.0,
quagga4,F,2026-01-09,4.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,331.0,
,,,,,,
dodo1,M,2026-01-12,0.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,219.0,
dodo2,M,2026-01-12,0.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,313.0,
dodo3,M,2026-01-12,0.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,257.0,
dodo4,M,2026-01-12,0.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,269.0,
quagga1,F,2026-01-12,0.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,203.0,
quagga2,F,2026-01-12,0.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,229.0,
quagga3,F,2026-01-12,0.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,316.0,
quagga4,F,2026-01-12,0.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,331.0,
,,,,,,
dodo1,M,2026-01-13,1.0,cog_Mouse Pairwise Initial Touch Training v3_RewardTone,245.0,
dodo2,M,2026-01-13,1.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,327.0,
